"state","year","ndp"
"Mizoram","y1011","48591.000000"
"Nagaland","y1011","52965.613856"
"Odisha","y1011","40412.000000"
"Punjab","y1011","68998.067783"
"Rajasthan","y1011","42433.803186"
"Sikkim","y1011","104506.038416"
"Tamil Nadu","y1011","75449.000000"
"Tripura","y1011","44965.000000"
"Uttar Pradesh","y1011","26903.000000"
"Uttarakhand","y1011","72092.918563"
"West Bengal","y1011","47738.000000"
"Andaman and Nicobar","y1011","85741.000000"
"Chandigarh","y1011","130461.099366"
"NCT of Delhi","y1011","150653.000000"
"Puducherry","y1011","98719.000000"
